Ct,a
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.650835, 0.292028
0.652593, 0.290223
0.654335, 0.288380
0.656053, 0.286510
0.657760, 0.284603
0.659455, 0.282661
0.661142, 0.280685
0.662821, 0.278675
0.664493, 0.276632
0.666161, 0.274557
0.667825, 0.272450
0.669486, 0.270313
0.671145, 0.268146
0.672804, 0.265950
0.674462, 0.263727
0.676122, 0.261476
0.677784, 0.259200
0.679447, 0.256900
0.681114, 0.254577
0.682784, 0.252233
0.684459, 0.249869
0.686137, 0.247487
0.687810, 0.245105
0.689461, 0.242747
0.691091, 0.240416
0.692724, 0.238078
0.694360, 0.235738
0.695999, 0.233397
0.697635, 0.231066
0.699271, 0.228743
0.700908, 0.226428
0.702548, 0.224124
0.704189, 0.221832
0.705831, 0.219557
0.707473, 0.217302
0.709116, 0.215068
0.710758, 0.212860
0.712378, 0.210707
0.713981, 0.208605
0.715580, 0.206538
0.717165, 0.204518
0.718743, 0.202541
0.720280, 0.200646
0.721809, 0.198796
0.723328, 0.196993
0.724836, 0.195237
0.726333, 0.193531
0.727818, 0.191876
0.729289, 0.190274
0.730737, 0.188734
0.732169, 0.187248
0.733585, 0.185817
0.734979, 0.184445
0.736353, 0.183131
0.737708, 0.181871
0.739043, 0.180666
0.740358, 0.179514
0.741652, 0.178417
0.742918, 0.177377
0.744160, 0.176390
0.745375, 0.175457
0.746564, 0.174574
0.747730, 0.173739
0.748872, 0.172950
0.749980, 0.172212
0.751059, 0.171520
0.752113, 0.170869
0.753143, 0.170257
0.754144, 0.169685
0.755122, 0.169148
0.756079, 0.168644
0.757012, 0.168173
0.757920, 0.167733
0.758803, 0.167323
0.759662, 0.166941
0.760498, 0.166586
0.761309, 0.166256
0.762097, 0.165950
0.762861, 0.165667
0.763603, 0.165405
0.764322, 0.165162
0.765019, 0.164938
0.765689, 0.164733
0.766330, 0.164547
0.766950, 0.164375
0.767550, 0.164217
0.768130, 0.164072
0.768691, 0.163938
0.769233, 0.163816
0.769756, 0.163705
0.770262, 0.163602
0.770750, 0.163509
0.771221, 0.163424
0.771675, 0.163346
0.772113, 0.163275
0.772536, 0.163211
0.772943, 0.163153
0.773336, 0.163101
0.773714, 0.163053
0.774079, 0.163010
0.774430, 0.162971
0.774768, 0.162936
0.775093, 0.162905
0.775401, 0.162878
0.775697, 0.162853
0.775981, 0.162832
0.776255, 0.162812
0.776519, 0.162795
0.776772, 0.162780
0.777016, 0.162767
0.777250, 0.162755
0.777475, 0.162745
0.777692, 0.162736
0.777900, 0.162729
0.778100, 0.162723
0.778292, 0.162718
0.778476, 0.162713
0.778653, 0.162710
0.778824, 0.162707
0.778987, 0.162705
0.779144, 0.162703
0.779295, 0.162702
0.779440, 0.162702
0.779579, 0.162702
0.779712, 0.162702
0.779841, 0.162703
0.779964, 0.162704
0.780082, 0.162705
0.780195, 0.162706
0.780304, 0.162708
0.780408, 0.162710
0.780508, 0.162711
0.780604, 0.162713
0.780696, 0.162716
0.780785, 0.162718
0.780870, 0.162720
0.780951, 0.162722
0.781029, 0.162725
0.781104, 0.162727
